ID_DEPARTAMENTO,DEPARTAMENTO,ID_MUNICIPIO,MUNICIPIO,Latitud,Longitud,LOCALIDAD,Solar_radiation_promedio,Wind_promedio,consumo_energia_promedio,tipo_cultivo,Desecho_Ton_promedio,Solar_norm,Wind_norm,Desecho_norm,Indice_Solar,Indice_Eolico,Indice_Biomasa,Energia_Prioritaria
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,ARUSI (NIQUÍ - CHOCÓ),0.0,0.0,28871.0,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,28871.0,Biomasa
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,ARUSÍ (NUQUÍ - CHOCO),0.0,0.0,17011.69,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,17011.69,Biomasa
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,COMUNIDAD DE PUERTO JAGUA (NUQUÍ - CHOCÓ),0.0,0.0,1297.07,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,1297.07,Biomasa
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,COMUNIDAD INDIGENA DE PANGUI - (EL YUCAL) (NUQUÍ - CHOCÓ),0.0,0.0,8966.83,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,8966.83,Biomasa
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),0.0,0.0,7509.69,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,7509.69,Biomasa
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,JURUBIRA (NUQUÍ - CHOCÓ),0.0,0.0,19866.8,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,19866.8,Biomasa
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,NUQUÍ (NUQUÍ - CHOCÓ),0.0,0.0,336302.48,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,336302.48,Biomasa
27,CHOCÓ,27495,NUQUÍ,5.694,-77.297,PUERTO JAGUA (NUQUÍ - CHOCÓ),0.0,0.0,1269.74,PALMA DE ACEITE,972.172549366951,0.0,0.0,1.0,0.0,0.0,1269.74,Biomasa
27,CHOCÓ,27615,RIOSUCIO,7.392,-77.255,MARCIAL (RIOSUCIO - CHOCÓ),18359.19141,0.941666663,145.75,PALMA DE ACEITE,972.172549366951,0.9337567466858102,0.21482890274255825,1.0,136.09504582945684,31.311312574727864,145.75,Biomasa
27,CHOCÓ,27615,RIOSUCIO,7.392,-77.255,PEÑAS BLANCAS (RIOSUCIO - CHOCÓ),18359.19141,0.941666663,53.25,PALMA DE ACEITE,972.172549366951,0.9337567466858102,0.21482890274255825,1.0,49.722546761019395,11.439639071041228,53.25,Biomasa
27,CHOCÓ,27615,RIOSUCIO,7.392,-77.255,SAN JOSE TAMBORAL (RIOSUCIO - CHOCÓ),18359.19141,0.941666663,770.0,PALMA DE ACEITE,972.172549366951,0.9337567466858102,0.21482890274255825,1.0,718.9926949480739,165.41825511176987,770.0,Biomasa
27,CHOCÓ,27745,SIPÍ,4.597,-76.544,SIPÍ (SIPÍ - CHOCO),16588.47461,0.691666663,13752.36,PALMA DE ACEITE,972.172549366951,0.8436972924568341,0.15779468055342724,1.0,11602.828896891668,2170.049253055731,13752.36,Biomasa
27,CHOCÓ,27800,UNGUÍA,8.119,-77.107,BALBOA (UNGUÍA - CHOCÓ),18731.93359,1.725000024,29625.93,PALMA DE ACEITE,972.172549366951,0.9527145818963413,0.39353613858028935,1.0,28225.055513240273,11658.874094049952,29625.93,Biomasa
27,CHOCÓ,27800,UNGUÍA,8.119,-77.107,TITUMATE (UNGUÍA - CHOCÓ),18731.93359,1.725000024,19836.14,PALMA DE ACEITE,972.172549366951,0.9527145818963413,0.39353613858028935,1.0,18898.17982653729,7806.237939938021,19836.14,Biomasa
27,CHOCÓ,27800,UNGUÍA,8.119,-77.107,UNGUÍA (UNGUÍA - CHOCÓ),18731.93359,1.725000024,540559.21,PALMA DE ACEITE,972.172549366951,0.9527145818963413,0.39353613858028935,1.0,514998.6417453665,212729.5841774117,540559.21,Biomasa
44,LA GUAJIRA,44847,URIBIA,12.002,-71.752,CABO DE LA VELA (URIBIA - LA GUAJIRA),19661.64258,4.383333206,38517.5,PALMA DE ACEITE,8.733488127589226,1.0,1.0,0.0089834753442444,38517.5,38517.5,346.0210115719337,Solar
44,LA GUAJIRA,44847,URIBIA,12.002,-71.752,NAZARETH (URIBIA - LA GUAJIRA),19661.64258,4.383333206,54114.23,PALMA DE ACEITE,8.733488127589226,1.0,1.0,0.0089834753442444,54114.23,54114.23,486.13385097777063,Solar
47,MAGDALENA,47189,CIÉNAGA,10.892,-74.046,PALMOR (CIÉNAGA - MAGDALENA),18874.88281,3.166666508,123148.03,PALMA DE ACEITE,243.97124671936035,0.9599850436300628,0.7224334448646066,0.2509546755647719,118220.26695250628,88966.25554118992,30904.573915090798,Solar
50,META,50325,MAPIRIPÁN,3.12,-71.943,MAPIRIPAN (MAPIRIPAN - META),15932.0498,1.133333325,227000.02,PALMA DE ACEITE,892.6454372406006,0.8103112308737738,0.2585551386895865,0.9181965051593609,183940.66561457125,58692.02165363891,208430.625035105,Biomasa
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,ALTERÓN (URIBE URIBE) (EL CHARCO - NARIÑO),14679.74121,0.924999952,1176.0,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,878.0230640811496,248.16729471147576,69.39925694697818,Solar
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,ALTERON - URIBE URIBE (EL CHARCO - NARIÑO),14679.74121,0.924999952,555.14,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,414.477656287423,117.1493129133747,32.76046216117812,Solar
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,BAZAN (EL CHARCO - NARIÑO),14679.74121,0.924999952,25635.43,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,19139.87992996414,5409.757918252897,1512.8229536703002,Solar
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,BOLIVAR - SAN PEDRO (EL CHARCO - NARIÑO),14679.74121,0.924999952,5914.46,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,4415.8437853617315,1248.1084505775807,349.0298718049529,Solar
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),14679.74121,0.924999952,8684.96,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,6484.349651889644,1832.7576767664782,512.5253151481527,Solar
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,LAS MERCEDES (EL CHARCO - NARIÑO),14679.74121,0.924999952,2061.8,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,1539.3775114987368,435.09466686744963,121.67294895687043,Solar
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,SAN JOSE (EL CHARCO - NARIÑO),14679.74121,0.924999952,16341.0,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,12200.488852168424,3448.3858527893076,964.3310015055871,Solar
52,NARIÑO,52250,EL CHARCO,2.19,-77.802,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),14679.74121,0.924999952,16572.08,PALMA DE ACEITE,57.37079298496246,0.7466182517696851,0.2110266111492141,0.0590129735943692,12373.017397787364,3497.149882093668,977.9677194437741,Solar
52,NARIÑO,52390,LA TOLA,2.421,-78.213,AGUACATAL (LA TOLA - NARIÑO),14197.3418,1.133333325,2452.31,PALMA DE ACEITE,57.37079298496246,0.7220832004362476,0.2585551386895865,0.0590129735943692,1770.7718532618144,634.0573521598599,144.71810527520753,Solar
52,NARIÑO,52390,LA TOLA,2.421,-78.213,AMARALES (LA TOLA - NARIÑO),14197.3418,1.133333325,10865.75,PALMA DE ACEITE,57.37079298496246,0.7220832004362476,0.2585551386895865,0.0590129735943692,7845.975535140157,2809.3954982163746,641.2202178330172,Solar
52,NARIÑO,52390,LA TOLA,2.421,-78.213,LA VIGIA (LA TOLA - NARIÑO),14197.3418,1.133333325,8510.25,PALMA DE ACEITE,57.37079298496246,0.7220832004362476,0.2585551386895865,0.0590129735943692,6145.108556512577,2200.3688690330537,502.2151585314805,Solar
52,NARIÑO,52390,LA TOLA,2.421,-78.213,LA VIGIA DE LA MAR (LA TOLA - NARIÑO),14197.3418,1.133333325,8505.96,PALMA DE ACEITE,57.37079298496246,0.7220832004362476,0.2585551386895865,0.0590129735943692,6142.010819582704,2199.259667488075,501.9619928747606,Solar
52,NARIÑO,52390,LA TOLA,2.421,-78.213,MULATOS (LA TOLA - NARIÑO),14197.3418,1.133333325,6524.81,PALMA DE ACEITE,57.37079298496246,0.7220832004362476,0.2585551386895865,0.0590129735943692,4711.455687038433,1687.0231544732012,385.04844023827616,Solar
52,NARIÑO,52390,LA TOLA,2.421,-78.213,SAN PABLO DE LA MAR (LA TOLA - NARIÑO),14197.3418,1.133333325,4143.25,PALMA DE ACEITE,57.37079298496246,0.7220832004362476,0.2585551386895865,0.0590129735943692,2991.771220207483,1071.2585783756294,244.5055028448702,Solar
52,NARIÑO,52390,LA TOLA,2.421,-78.213,SAN PABLO DEL MAR (LA TOLA - NARIÑO),14197.3418,1.133333325,5991.23,PALMA DE ACEITE,57.37079298496246,0.7220832004362476,0.2585551386895865,0.0590129735943692,4326.16653294966,1549.0633035712112,353.5602977877926,Solar
52,NARIÑO,52427,MAGÜÍ (Payán),1.909,-78.048,ALTO ESTERO (MAGÜI - NARIÑO),14471.99121,0.891666651,788.13,PALMA DE ACEITE,57.37079298496246,0.7360519931697386,0.20342205556708937,0.0590129735943692,580.104657376866,160.32302465409015,46.5098948789302,Solar
52,NARIÑO,52427,MAGÜÍ (Payán),1.909,-78.048,BRISAS DE HAMBURGO (MAGÜÍ - NARIÑO),14471.99121,0.891666651,1547.0,PALMA DE ACEITE,57.37079298496246,0.7360519931697386,0.20342205556708937,0.0590129735943692,1138.6724334335856,314.6939199622872,91.29307015048916,Solar
